lang,quant,ppl_q,ppl_base,ppl_ratio,kld_mean,kld_median,kld_999,same_top
el,Q6_K,7.968406,7.909554,1.007441,0.010266,0.005714,0.199789,93.924
el,Q5_K_M,8.061918,7.909554,1.019263,0.021464,0.012108,0.383403,91.274
el,Q4_K_M,8.482886,7.909554,1.072486,0.069221,0.039519,1.240838,85.124
el,Q3_K_M,11.069142,7.909554,1.399465,0.315553,0.169445,5.09522,70.157
el,Q2_K,60.234168,7.909554,7.615369,1.959034,1.454695,10.143067,26.699
en,Q6_K,14.94769,14.87966,1.004572,0.006813,0.004831,0.116961,95.195
en,Q5_K_M,15.081305,14.87966,1.013552,0.014265,0.009944,0.251915,93.143
en,Q4_K_M,15.504351,14.87966,1.041983,0.042467,0.029462,0.760665,88.936
en,Q3_K_M,17.737247,14.87966,1.192047,0.179463,0.11818,3.772569,78.454
en,Q2_K,42.644575,14.87966,2.865964,1.075921,0.780847,9.175537,52.104
